CONCEPT_ID,ICD10code,description,body_system,Progressive,code_heading,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,standard_code,standard_name
920115,C79.9,Secondary malignant neoplasm of unspecified site,malignancy,n/a,C7,Secondary malignant neoplasm of unspecified site,Condition,ICD10CM,4158910,Secondary malignant neoplasm of unknown site
920116,C86.0,"Extranodal NK/T-cell lymphoma, nasal type",malignancy,n/a,C8,"Extranodal NK/T-cell lymphoma, nasal type",Condition,ICD10CM,4212994,"Extranodal NK/T-cell lymphoma, nasal type"
920117,C86.1,Hepatosplenic T-cell lymphoma,malignancy,n/a,C8,Hepatosplenic T-cell lymphoma,Condition,ICD10CM,40483374,Hepatosplenic T-cell lymphoma
920118,C86.2,Enteropathy-type (intestinal) T-cell lymphoma,malignancy,n/a,C8,Enteropathy-type (intestinal) T-cell lymphoma,Condition,ICD10CM,4082627,Enteropathy-associated T-cell lymphoma
920119,C86.3,Subcutaneous panniculitis-like T-cell lymphoma,malignancy,n/a,C8,Subcutaneous panniculitis-like T-cell lymphoma,Condition,ICD10CM,4301666,Subcutaneous panniculitis-like T-cell lymphoma
920120,C86.4,Blastic NK-cell lymphoma,malignancy,n/a,C8,Blastic NK-cell lymphoma,Condition,ICD10CM,40482072,Blastic plasmacytoid dendritic cell neoplasm
920121,C86.5,Angioimmunoblastic T-cell lymphoma,malignancy,n/a,C8,Angioimmunoblastic T-cell lymphoma,Condition,ICD10CM,4184976,Angioimmunoblastic T-cell lymphoma
920122,C86.6,Primary cutaneous CD30-positive T-cell proliferations,malignancy,n/a,C8,Primary cutaneous CD30-positive T-cell proliferations,Condition,ICD10CM,4029188,Primary cutaneous CD30+ large T-cell lymphoma
920123,C88.4,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma],malignancy,n/a,C8,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma],Condition,ICD10CM,40482893,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue (MALT-lymphoma)
920125,C96.4,Sarcoma of dendritic cells (accessory cells),malignancy,n/a,C96,Sarcoma of dendritic cells (accessory cells),Condition,ICD10CM,40488812,Sarcoma of dendritic cells (accessory cells)
920126,C96.5,Multifocal and unisystemic Langerhans-cell histiocytosis,malignancy,n/a,C96,Multifocal and unisystemic Langerhans-cell histiocytosis,Condition,ICD10CM,4217892,Hand-Schüller-Christian disease
920127,C96.6,Unifocal Langerhans-cell histiocytosis,malignancy,n/a,C96,Unifocal Langerhans-cell histiocytosis,Condition,ICD10CM,4044708,"Langerhans cell histiocytosis, unifocal (clinical)"
920130,G14,Postpolio syndrome,neurological,yes,G14,Postpolio syndrome,Condition,ICD10CM,4150511,Post poliomyelitis syndrome
1567467,C06.8,Malignant neoplasm of overlapping sites of other and unspecified parts of mouth,malignancy,n/a,C0,Malignant neoplasm of overlapping sites of other and unspecified parts of mouth,Condition,ICD10CM,140955,Overlapping malignant neoplasm of floor of mouth
1569171,I48.2,Chronic atrial fibrillation,cardiac,no,I48,Chronic atrial fibrillation,Condition,ICD10CM,4141360,Chronic atrial fibrillation
1569172,I48.3,Typical atrial flutter,cardiac,no,I48,Typical atrial flutter,Condition,ICD10CM,36714994,Typical atrial flutter
1569173,I48.4,Atypical atrial flutter,cardiac,no,I48,Atypical atrial flutter,Condition,ICD10CM,36712986,Atypical atrial flutter
1576083,Z44.0,Encounter for fitting and adjustment of artificial arm,musculoskeletal,no,Z440,Encounter for fitting and adjustment of artificial arm,Observation,ICD10CM,4264102,NA
35205451,A15.0,Tuberculosis of lung,pulmonary/respiratory,no,A15,Tuberculosis of lung,Condition,ICD10CM,253954,Pulmonary tuberculosis
35205452,A15.4,Tuberculosis of intrathoracic lymph nodes,pulmonary/respiratory,no,A15,Tuberculosis of intrathoracic lymph nodes,Condition,ICD10CM,134851,Tuberculosis of intrathoracic lymph nodes
35205453,A15.5,"Tuberculosis of larynx, trachea and bronchus",pulmonary/respiratory,no,A15,"Tuberculosis of larynx, trachea and bronchus",Condition,ICD10CM,45771090,Respiratory tuberculosis
35205454,A15.6,Tuberculous pleurisy,pulmonary/respiratory,no,A15,Tuberculous pleurisy,Condition,ICD10CM,261495,Tuberculosis of pleura
35205455,A15.7,Primary respiratory tuberculosis,pulmonary/respiratory,no,A15,Primary respiratory tuberculosis,Condition,ICD10CM,45771090,Respiratory tuberculosis
35205455,A15.7,Primary respiratory tuberculosis,pulmonary/respiratory,no,A15,Primary respiratory tuberculosis,Condition,ICD10CM,432541,Primary tuberculosis
35205456,A15.8,Other respiratory tuberculosis,pulmonary/respiratory,no,A15,Other respiratory tuberculosis,Condition,ICD10CM,45771090,Respiratory tuberculosis
35205457,A15.9,"Respiratory tuberculosis, unspecified",pulmonary/respiratory,no,A15,Respiratory tuberculosis unspecified,Condition,ICD10CM,45771090,Respiratory tuberculosis
35205458,A17.0,Tuberculous meningitis,neurological,yes,A170,Tuberculous meningitis,Condition,ICD10CM,441775,Tuberculosis of meninges
35205459,A17.1,Meningeal tuberculoma,neurological,no,A171,Meningeal tuberculoma,Condition,ICD10CM,440937,Tuberculoma of meninges
35205460,A17.9,"Tuberculosis of nervous system, unspecified",neurological,yes,A179,"Tuberculosis of nervous system, unspecified",Condition,ICD10CM,374267,Tuberculosis of central nervous system
35205461,A18.2,Tuberculous peripheral lymphadenopathy,immunological,no,A182,Tuberculous peripheral lymphadenopathy,Condition,ICD10CM,432236,Tuberculosis of peripheral lymph nodes
